Priority,Completeness,Year,Title,Issues,TMDB_ID,URL
Medium,70%,2025,"Super Raja","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/super-raja-2025
Medium,70%,2024,"Rite Here Rite Now","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1203397,http://localhost:3000/movies/rite-here-rite-now-2024
Medium,70%,2024,"Young Woman and the Sea","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",774531,http://localhost:3000/movies/young-woman-and-the-sea-2024
Medium,70%,2024,"Lover","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1219158,http://localhost:3000/movies/lover-2024
Medium,70%,2024,"Akkada Varu Ikkada Unnaru","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/akkada-varu-ikkada-unnaru-2024
Medium,70%,2024,"Demonte Colony 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",979250,http://localhost:3000/movies/demonte-colony-2-2024
Medium,70%,2024,"Anweshippin Kandethum","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",834664,http://localhost:3000/movies/anweshippin-kandethum-2024
Medium,70%,2024,"Golam","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1222140,http://localhost:3000/movies/golam-2024
Medium,70%,2024,"Maharaj","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1171099,http://localhost:3000/movies/maharaj-2024
Medium,70%,2024,"Transformers One","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",698687,http://localhost:3000/movies/transformers-one-2024
Medium,70%,2024,"Memoir of a Snail","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1064486,http://localhost:3000/movies/memoir-of-a-snail-2024
Medium,70%,2024,"The Wild Robot","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1184918,http://localhost:3000/movies/the-wild-robot-2024
Medium,70%,2024,"Succubus","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1130276,http://localhost:3000/movies/succubus-2024
Medium,70%,2024,"Super/Man: The Christopher Reeve Story","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1128559,http://localhost:3000/movies/super-man-the-christopher-reeve-story-2024
Medium,70%,2024,"Soul","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",508442,http://localhost:3000/movies/soul-2024
Medium,70%,2024,"The Way to the Heart","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",987032,http://localhost:3000/movies/the-way-to-the-heart-2024
Medium,70%,2024,"Music by John Williams","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1076708,http://localhost:3000/movies/music-by-john-williams-2024
