slug	title_en	title_te	year	director	tmdb_id	has_poster	has_synopsis	url
the-100-2025	The 100		2025	Raghav Omkar Sasidhar	1503551	YES	YES	http://localhost:3000/movies/the-100-2025
28-degree-celsius-2025	28 Degree Celsius		2025	Anil Viswanath	586369	YES	YES	http://localhost:3000/movies/28-degree-celsius-2025
kannappa-2025	Kannappa		2025	Mukesh Kumar Singh	1232232	YES	YES	http://localhost:3000/movies/kannappa-2025
subham-2025	Subham		2025	Praveen Kandregula	1449364	YES	YES	http://localhost:3000/movies/subham-2025
uppu-kappurambu-2025	Uppu Kappurambu		2025	Ani I. V. Sasi	1262548	YES	YES	http://localhost:3000/movies/uppu-kappurambu-2025
oka-brundavanam-2025	Oka Brundavanam		2025	Satya Botcha	1501237	YES	YES	http://localhost:3000/movies/oka-brundavanam-2025
k-ramp-2025	K-Ramp		2025	Jains Nani	1428278	YES	YES	http://localhost:3000/movies/k-ramp-2025
8-vasantalu-2025	8 Vasantalu		2025	Phanindra Narsetti	1370032	YES	YES	http://localhost:3000/movies/8-vasantalu-2025
dhandoraa-2025	Dhandoraa		2025	Murali Kanth Devasoth	1600883	YES	YES	http://localhost:3000/movies/dhandoraa-2025
mad-2025	(MAD)²		2025	Kalyan Shankar	1359490	YES	YES	http://localhost:3000/movies/mad-2025
pelli-kaani-prasad-2025	Pelli Kaani Prasad		2025	Abhilash Reddy Gopidi	1449928	YES	YES	http://localhost:3000/movies/pelli-kaani-prasad-2025
kingdom-2025	Kingdom		2025	Poppy Bullard	1541051	YES	YES	http://localhost:3000/movies/kingdom-2025
chaurya-paatham-2025	Chaurya Paatham		2025	Nikhil Gollamari	1472031	YES	YES	http://localhost:3000/movies/chaurya-paatham-2025
baahubali-the-epic-2025	Baahubali: The Epic		2025	S. S. Rajamouli	1511417	YES	YES	http://localhost:3000/movies/baahubali-the-epic-2025
arjun-son-of-vyjayanthi-2025	Arjun Son of Vyjayanthi		2025	Pradeep Chilukuri	1447219	YES	YES	http://localhost:3000/movies/arjun-son-of-vyjayanthi-2025
