Year,Title,Slug,Hero,Heroine,Director,Music_Director,Cinematographer,Editor,Writer,Producer,TMDB_ID,Genres
1982,Yamakinkarudu,yamakinkarudu-1982,Chiranjeevi,Radhika,Raj Bharat,K. Chakravarthy,P. S. Prakash,Gautham Raju,Raj Bharat,Allu Aravind,279345,Action; Thriller
1982,Manchu Pallaki,manchu-pallaki-1982,Chiranjeevi,Suhasini,Vamsy,Rajan-Nagendra,Hari Anumolu,Tim Murrell,Vamsy,M. R. Prasad Rao,114996,Drama
1982,Billa Ranga,billa-ranga-1982,Chiranjeevi,Sridevi,K.S.R. Das,K. Chakravarthy,P. S. Prakash,K. Rammohan Rao,Paruchuri Brothers,K. C. Sekhar Babu,114997,Action
1982,Illanta Sandadi,illanta-sandadi-1982,Chiranjeevi,Suhasini,Relangi Narasimha Rao,Krishna-Chakra,B. Koteswara Rao,G. G. Krishna Rao,Relangi Narasimha Rao,U. S. R. Mohan Rao,279344,Comedy
1982,Subhalekha,subhalekha-1982,Chiranjeevi,Sumalatha,K. Viswanath,K. V. Mahadevan,Kasturi,G. G. Krishna Rao,K. Viswanath,V. V. Sastry,114997,Comedy; Drama
1982,Tingu Rangadu,tingu-rangadu-1982,Chiranjeevi,Geetha,Tatineni Rama Rao,K. Chakravarthy,S. Navakanth,N. R. Kittu,Satyanand,G. Jagadish Prasad,114996,Comedy
1981,Srirasthu Subhamasthu,srirasthu-subhamasthu-1981,Chiranjeevi,Saritha,Parvataneni Sambasiva Rao,J. V. Raghavulu,V. S. R. Swamy,V. Rajeshwara Rao,P. Sambasiva Rao,N. R. Anuradha,320389,Drama
1981,Parvathi Parameswarulu,parvathi-parameswarulu-1981,Chiranjeevi,Swapna,M. S. Kota Reddy,Satyam,C. Nageswara Rao,K. Satyam,M. S. Kota Reddy,S. Venkat Ratnam,417242,Drama; Romance; Family; Social
1981,Tirugu Leni Manishi,tirugu-leni-manishi-1981,Chiranjeevi,Rati Agnihotri,K. Raghavendra Rao,K. V. Mahadevan,K.S. Prakash,Kotagiri Venkateswara Rao,Satyanand,K. Devi Vara Prasad,313177,Drama; Romance; Family
1981,Kirayi Rowdylu,kirayi-rowdylu-1981,Chiranjeevi,Radhika,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Gautham Raju,Satyanand,Kranthi Kumar,114994,Action
