#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Supporting_Cast,Director,Music_Director,Cinematographer,Producer,Editor,Writer,Choreographer,Art_Director,Lyricist
"63","1989","Ontari Poratam","ontari-poratam-1989","279499","Daggubati Venkatesh","Maheshwari","Mohan Babu; Jayasudha; Sudhakar; Kaikala Satyanarayana; Rupini","K. Raghavendra Rao","K. Chakravarthy","S. Gopal Reddy","K.S. Rama Rao","Kotagiri Venkateswara Rao","K Raghavendra Rao","","",""
"64","1989","Agni","agni-1989","1079595","Daggubati Venkatesh","Kushboo","Rao Gopal Rao; Kaikala Satyanarayana; Vanisri; Mohan Babu; Allu Ramalingaiah","K. Raghavendra Rao","Hamsalekha","S. Gopal Reddy","K. S. Prakash Rao","Kotagiri Venkateswara Rao","K Raghavendra Rao","","",""
"65","1989","Sutradharulu","sutradharulu-1989","105356","Daggubati Venkatesh","Meena","Ramya Krishnan; Sujatha; K R Vijaya; Kaikala Satyanarayana; Murali Mohan","K. Viswanath","K. V. Mahadevan","S. Gopal Reddy","Sudhakar","G. G. Krishna Rao","M. V. S. Haranatha Rao","","",""
"66","1989","Prema","prema-1989","279501","Daggubati Venkatesh","Revathi","Brahmanandam; S. P. Balasubramaniam; Gollapudi Maruti Rao; Manjula Vijayakumar; Vaishnavi","Suresh Krissna","Ilaiyaraaja","S. Gopal Reddy","D. Rama Naidu","K. A. Marthand","Suresh Krissna","","",""
"67","1989","Dhruva Nakshatram","dhruva-nakshatram-1989","1342678","Daggubati Venkatesh","Rajani","Brahmanandam; Kaikala Satyanarayana","Y. Nageswara Rao","Chakravarthy","V.S.R. Swamy","D. Ramanaidu","","","","",""
"68","1989","Gaduggai","gaduggai-1989","1342680","Daggubati Venkatesh","Rajani","Kota Srinivasa Rao; Brahmanandam","Sarath","Chakravarthy","V.S.R. Swamy","D. Ramanaidu","","","","",""
"69","1988","Swarnakamalam","swarnakamalam-1988","82749","Daggubati Venkatesh","Bhanupriya","Aruna Mucherla; Shanmukha Srinivas; Saakshi Ranga Rao; Janaki; Devilalitha","K. Viswanath","Ilaiyaraaja","N. Hari","C H V Appa Rao","","K. Viswanath","","",""
"70","1988","Brahma Puthrudu","brahma-puthrudu-1988","279505","Daggubati Venkatesh","Rajani","Mohan Babu; Jayasudha; Sharada; Shalini","Dasari Narayana Rao","K. Chakravarthy","S. Gopal Reddy","D. Rama Naidu","","","","",""
"71","1988","Raktha Tilakam","raktha-tilakam-1988","1342682","Daggubati Venkatesh","Amala","Sharada; Kaikala Satyanarayana","B. Gopal","Chakravarthy","V.S.R. Swamy","K. Ashok Kumar","","","","",""
"72","1988","Varasudochadu","varasudochadu-1988","1342683","Daggubati Venkatesh","Suhasini","Nirmalamma; Gollapudi Maruti Rao","A. Kodandarami Reddy","Chakravarthy","S. Gopal Reddy","S. Gopal Reddy","","","","",""
"73","1987","Ajeyudu","ajeyudu-1987","1342684","Daggubati Venkatesh","Shobana","Kaikala Satyanarayana; Sumalatha","G. Ram Mohan Rao","Chakravarthy","S. Gopal Reddy","D. Ramanaidu","","","","",""
"74","1987","Bharatamlo Arjunudu","bharatamlo-arjunudu-1987","1342685","Daggubati Venkatesh","Khushbu","Sudhakar; Jayachitra","K. Raghavendra Rao","Chakravarthy","S. Gopal Reddy","D. Ramanaidu","","","","",""
"75","1987","Srinivasa Kalyanam","srinivasa-kalyanam-1987","279509","Daggubati Venkatesh","Bhanupriya","Mohan Babu","Kodi Ramakrishna","K. V. Mahadevan","V. Lakshman","K Murari","","","","",""
"76","1986","Kaliyuga Pandavulu","kaliyuga-pandavulu-1986","279515","Daggubati Venkatesh","Khusboo","Ashwini; Sudhakar","K. Raghavendra Rao","K. Chakravarthy","S. Gopal Reddy","D. Rama Naidu","","","","",""
