Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
conflicting_data,"Bandhalu Anubandhalu",1982,tmdb_id,"318855","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Dhairyavanthudu",1986,tmdb_id,"369150","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Radha My Darling",1982,tmdb_id,"279347","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"I Love You",1979,tmdb_id,"311029","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Thathayya Premaleelalu",1980,tmdb_id,"1298416","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Sitadevi",1982,tmdb_id,"114631","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mega 159",2026,tmdb_id,"1382410","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Auto Jaani",2026,tmdb_id,"341935","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Tirugu Leni Manishi",1981,tmdb_id,"313177","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Intlo Ramayya Veedhilo Krishnayya",1982,tmdb_id,"114983","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mana Shankara Vara Prasad Garu",2026,tmdb_id,"1146313","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Raja Vikramarka",1990,tmdb_id,"279123","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Idi Pellantara",1982,tmdb_id,"1536091","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Alluda Majaka",1995,tmdb_id,"56391","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mechanic Alludu",1993,tmdb_id,"115046","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Manchi Donga",1988,tmdb_id,"115028","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Aalaya Sikharam",1983,tmdb_id,"115005","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Parvathi Parameswarulu",1981,tmdb_id,"417242","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Stalin",2006,tmdb_id,"242911","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mrugaraju",2001,tmdb_id,"56399","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Annayya",2000,tmdb_id,"115059","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Iddaru Mitrulu",1999,tmdb_id,"115057","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Choodalani Vundi",1998,tmdb_id,"37911","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Bavagaru Bagunnara",1998,tmdb_id,"108502","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Big Boss",1995,tmdb_id,"410217","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rudranetra",1989,tmdb_id,"115040","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Donga Mogudu",1987,tmdb_id,"115025","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kondaveeti Raja",1986,tmdb_id,"115023","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Yuddha Bhoomi",1988,tmdb_id,"279127","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Chattamtho Poratam",1985,tmdb_id,"115015","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Jwala",1985,tmdb_id,"115018","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Naagu",1984,tmdb_id,"115013","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Koteeswarudu",1984,tmdb_id,"318858","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Hero",1984,tmdb_id,"115007","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Gudachari No.1",1983,tmdb_id,"115004","-",70%,"TMDB ID not found - ID should be cleared",flag_review
