Title,Year,Director,Hero,TMDB ID,Slug,Review URL
"Gamattu Gudachari",1978,"K. Vasu","Krishnam Raju",,gamattu-gudachari-1978,http://localhost:3000/reviews/gamattu-gudachari-1978
"Rowdy Rangamma",1978,"Kodandarami Reddy","Krishnam Raju",,rowdy-rangamma-1978,http://localhost:3000/reviews/rowdy-rangamma-1978
"Sri Renukadevi Mahatyam",1978,"C. S. Rao","B. Saroja Devi",,sri-renukadevi-mahatyam-1978,http://localhost:3000/reviews/sri-renukadevi-mahatyam-1978
"Mugguru Muggure",1978,"S.D. Lal","Krishna",,mugguru-muggure-1978,http://localhost:3000/reviews/mugguru-muggure-1978
"Moratodu",1977,"K Vasu","Krishnam Raju",,moratodu-1977,http://localhost:3000/reviews/moratodu-1977
"Kalpanaa",1977,"K Vasu","N.T. Rama Rao",,kalpanaa-1977,http://localhost:3000/reviews/kalpanaa-1977
"Eetharam Manishi",1977,"Vadaseri","N.T. Rama Rao",,eetharam-manishi-1977,http://localhost:3000/reviews/eetharam-manishi-1977
"Janmajanmala Bandham",1977,"P. Chandrasekhara Reddy","Krishna",,janmajanmala-bandham-1977,http://localhost:3000/reviews/janmajanmala-bandham-1977
"Eenatibandham ye Natido",1977,"K.S.R. Das","Krishna",,eenatibandham-ye-natido-1977,http://localhost:3000/reviews/eenatibandham-ye-natido-1977
"Chakradhari",1977,"Dasari Narayana Rao","Akkineni Nageswara Rao",,chakradhari-1977,http://localhost:3000/reviews/chakradhari-1977
"Kurukshetram",1977,"B. Vittalacharya","Krishna",,kurukshetram-1977,http://localhost:3000/reviews/kurukshetram-1977
"Manasaakshi",1977,"Dasari Narayana Rao","Krishnam Raju",,manasaakshi-1977,http://localhost:3000/reviews/manasaakshi-1977
