slug,title_en,year,hero,director,title_te
ajatha-satruvu-1989,"Ajatha Satruvu",1989,"Krishna","A. Kodandarami Reddy",
anna-chellalu-1989,"Anna Chellalu",1989,"Sobhan Babu","Ravi Raja Pinisetty",
ashoka-chakravarthy-1989,"Ashoka Chakravarthy",1989,"Balakrishna","Suresh Krissna",
atha-mechina-alludu-1989,"Atha Mechina Alludu",1989,"Krishna","Kodi Ramakrishna",
attaku-yamudu-ammayiki-mogudu-1989,"Attaku Yamudu Ammayiki Mogudu",1989,"Chiranjeevi","A. Kodandarami Reddy",
bala-gopaludu-1989,"Bala Gopaludu",1989,"Nandamuri Balakrishna","Muthyala Subbaiah",
bamma-maata-bangaru-baata-1989,"Bamma Maata Bangaru Baata",1989,"Bhanumathi","Rajashekar",
bandhuvulostunnaru-jagratha-1989,"Bandhuvulostunnaru Jagratha",1989,"Rajendra Prasad","Sarath",
bhale-dampathulu-1989,"Bhale Dampathulu",1989,"Naresh","Kodi Ramakrishna",
bhale-donga-1989,"Bhale Donga",1989,"Nandamuri Balakrishna","Kodi Ramakrishna",
bharyalu-jagratha-1989,"Bharyalu Jagratha",1989,"Rahman","K. Balachander",
chalaki-mogudu-chadastapu-pellam-1989,"Chalaki Mogudu Chadastapu Pellam",1989,"Rajendra Prasad","Relangi Narasimha Rao",
chalaki-mogudu-chavali-pellam-1989,"Chalaki Mogudu Chavali Pellam",1989,"Rajendra Prasad","Relangi Narasimha Rao",
chandni-1989,"Chandni",1989,"Sridevi","Yash Chopra",
chettu-kinda-pleader-1989,"Chettu Kinda Pleader",1989,"Rajendra Prasad","Vamsi",
dhruva-nakshatram-1989,"Dhruva Nakshatram",1989,"Daggubati Venkatesh","Y. Nageswara Rao",
eeshwar-1989,"Eeshwar",1989,"Vijayashanti","K. Viswanath",
elaan-e-jung-1989,"Elaan-E-Jung",1989,"Dharmendra","Anil Sharma",
gaduggai-1989,"Gaduggai",1989,"Daggubati Venkatesh","Sarath",
goonda-rajyam-1989,"Goonda Rajyam",1989,"Krishna","A. Kodandarami Reddy",
gopala-rao-gari-abbayi-1989,"Gopala Rao Gari Abbayi",1989,"Rajendra Prasad","Manivannan",
