id,slug,title_en,release_year,field,db_value,consensus_value,confidence,sources_agree,sources_disagree,anomaly_type,auto_fixable
69140673-da4f-43dd-ba0e-f1affc24b0f0,"manchivadu-2011","Manchivadu",2011,heroine,"Bhama","Laila",0.71,"tmdb","",WRONG,false
69140673-da4f-43dd-ba0e-f1affc24b0f0,"manchivadu-2011","Manchivadu",2011,director,"Lakshman","P. Vasu",0.71,"tmdb","",WRONG,false
69140673-da4f-43dd-ba0e-f1affc24b0f0,"manchivadu-2011","Manchivadu",2011,cinematographer,"","Sekhar V. Joseph",0.64,"tmdb","",MISSING,false
69140673-da4f-43dd-ba0e-f1affc24b0f0,"manchivadu-2011","Manchivadu",2011,editor,"","Suresh Urs",0.64,"tmdb","",MISSING,false
69140673-da4f-43dd-ba0e-f1affc24b0f0,"manchivadu-2011","Manchivadu",2011,writer,"","Mahesh Bhatt",0.64,"tmdb","",MISSING,false
de7c0f9e-4e74-49d1-baed-d154aa001843,"agni-pravesam-1990","Agni Pravesam",1990,hero,"Sudhakar","Kou Machida",0.71,"tmdb","",WRONG,false
de7c0f9e-4e74-49d1-baed-d154aa001843,"agni-pravesam-1990","Agni Pravesam",1990,director,"Yandamuri Veerendranath","Nobutaka Yamaoka",0.71,"tmdb","",WRONG,false
0a8cd905-ca30-4001-aa83-dea0fb82eb1d,"bharya-bharthala-sawal-1983","Bharya Bharthala Sawal",1983,director,"P. Chandrasekhara Reddy","Johan Chiaramonte",0.71,"tmdb","",WRONG,false
b1190ba4-d0e3-48d5-b742-0ad4b169a2e1,"hyderabad-blues-1998","Hyderabad Blues",1998,editor,"","Renu Saluja",0.64,"tmdb","",MISSING,false
b1190ba4-d0e3-48d5-b742-0ad4b169a2e1,"hyderabad-blues-1998","Hyderabad Blues",1998,writer,"","Nagesh Kukunoor",0.64,"tmdb","",MISSING,false
9114b54a-fd7d-4837-a184-e86f28bda7e7,"upendra-gadi-adda-2023","Upendra Gadi Adda",2023,hero,"Kancharapalem Subba Rao","",0.40,"","tmdb,letterboxd",CONFLICT,false
25b9fa59-1897-48c0-9a94-35e2b2e7e84c,"life-anubavinchu-raja-2020","Life Anubavinchu Raja",2020,hero,"Ravi Teja Nannimala","",0.40,"","tmdb,letterboxd",CONFLICT,false
25b9fa59-1897-48c0-9a94-35e2b2e7e84c,"life-anubavinchu-raja-2020","Life Anubavinchu Raja",2020,heroine,"Shruti Sharan Shetty","",0.40,"","tmdb,letterboxd",CONFLICT,false
25b9fa59-1897-48c0-9a94-35e2b2e7e84c,"life-anubavinchu-raja-2020","Life Anubavinchu Raja",2020,director,"Suresh Thirumur","",0.40,"","tmdb,greatandhra",CONFLICT,false
1f876ebb-b748-46bb-80d5-9467d5cbf862,"chandamama-raave-asap-2021","Chandamama Raave Asap",2021,hero,"No Hero Lead","Divya Sripada",0.69,"letterboxd","",WRONG,false
1f876ebb-b748-46bb-80d5-9467d5cbf862,"chandamama-raave-asap-2021","Chandamama Raave Asap",2021,heroine,"Divya Sripada","",0.40,"","tmdb,letterboxd",CONFLICT,false
c06aa00b-8b63-4232-9185-f2ff8c3c19df,"panjaa-2011","Panjaa",2011,heroine,"Adivi Sesh","Sarah-Jane Dias",0.98,"tmdb,letterboxd","",WRONG,true
c06aa00b-8b63-4232-9185-f2ff8c3c19df,"panjaa-2011","Panjaa",2011,director,"Vishnuvardhan","Vishnu Varadhan",0.71,"tmdb","",WRONG,false
c06aa00b-8b63-4232-9185-f2ff8c3c19df,"panjaa-2011","Panjaa",2011,cinematographer,"","P. S. Vinod",0.64,"tmdb","",MISSING,false
c06aa00b-8b63-4232-9185-f2ff8c3c19df,"panjaa-2011","Panjaa",2011,editor,"","Sreekar Prasad",0.64,"tmdb","",MISSING,false
c06aa00b-8b63-4232-9185-f2ff8c3c19df,"panjaa-2011","Panjaa",2011,writer,"","Vishnu Varadhan",0.64,"tmdb","",MISSING,false
03ed5923-c608-48a4-b45d-a628c47b840a,"kanne-donga-1983","Kanne Donga",1983,director,"A. Kodandarami Reddy","Anne Paris",0.71,"tmdb","",WRONG,false
03ed5923-c608-48a4-b45d-a628c47b840a,"kanne-donga-1983","Kanne Donga",1983,editor,"","Anny Danché",0.64,"tmdb","",MISSING,false
20e7afd8-8034-46bb-a3f8-2ee51cfcb5c7,"welcome-back-2015","Welcome Back",2015,hero,"Shruti Haasan","John Abraham",0.98,"tmdb,letterboxd","",WRONG,true
20e7afd8-8034-46bb-a3f8-2ee51cfcb5c7,"welcome-back-2015","Welcome Back",2015,cinematographer,"","Uttam Dhakal",0.64,"tmdb","",MISSING,false
20e7afd8-8034-46bb-a3f8-2ee51cfcb5c7,"welcome-back-2015","Welcome Back",2015,editor,"","Ashfaq Makrani",0.64,"tmdb","",MISSING,false
20e7afd8-8034-46bb-a3f8-2ee51cfcb5c7,"welcome-back-2015","Welcome Back",2015,writer,"","Raaj Shaandilyaa",0.64,"tmdb","",MISSING,false
32c231ed-8459-4832-9292-9198bb1e7e4d,"telugu-veera-levara-1995","Telugu Veera Levara",1995,heroine,"Soundarya","",0.40,"","tmdb,letterboxd",CONFLICT,false
32c231ed-8459-4832-9292-9198bb1e7e4d,"telugu-veera-levara-1995","Telugu Veera Levara",1995,director,"E. V. V. Satyanarayana","E.V.V. Satyanarayana",0.71,"tmdb","",WRONG,false
