"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"latha","Vayanadan Thamban","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Vattathukkul Chaduram","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Neeya?","1979","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Gnana Kuzhandhai","1979","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Azhage Unnai Aarathikkiren","1979","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Raman Parasuraman","1980","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Rusi Kanda Poonai","1980","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Devi Dharisanam","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Antha","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Erattai Manithan","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Amaran","1992","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Raja Pandi","1994","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Vasuki","1997","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Rettai Jadai Vayasu","1997","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Ponnu Velayira Bhoomi","1998","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Pudhu Kudithanam","1999","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Thachiledathu Chundan","1999","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Kandha Kadamba Kathir Vela","2000","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Jana","2004","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Kusthi","2006","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Vallakottai","2010","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Nagesh Thiraiyarangam","2018","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Chandrakumari","2019","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Vanakkam Tamizha","2020","Guest (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Valarthu Mrugangal","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Ormakkayi","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Maro Charitra","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Mathru Devo Bhava","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Lava","1980","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Valarthu Mrugangal","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Anuraagakkodathi","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Ponthooval","1983","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Akkare","1984","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Oru Kudakeezhil","1985","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Sobharaj","1986","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Nombarathi Poovu","1987","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Akashadoothu","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Sudhinam","1994","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Aayiram Naavulla Ananthan","1996","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Ek Duuje Ke Liye","1981","Nominated — Filmfare Award for Best Supporting Actress (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Loha","1987","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Kalyug Aur Ramayan","1987","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Satyamev Jayathe","1987","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Pyar Ka Mandir","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Mar Mitenge","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"madhavi","Falak","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
