ID,Title,Year,Hero,Director,Our Rating,Has Poster,Synopsis (first 100 chars),Missing Data
5ab42f8c-f304-4fb5-a0bf-bb63f4f31ead,"Babu",1971,"Sivaji Ganesan","A. C. Tirulokchandar",,NO,"A 1971 Telugu film directed by A. C. Tirulokchandar.","RATING, POSTER"
5356abfd-e4dc-47e3-8ebc-756818317e70,"Sabadham",1971,"","P. Madhavan",,NO,"A 1971 Telugu film directed by P. Madhavan.","HERO, RATING, POSTER, SYNOPSIS"
c8aac18d-6c0b-4d9c-90aa-6d1e2422bf87,"Kannan Karunai",1971,"N. T. Rama Rao","N.T. Rama Rao",,NO,"A 1971 Telugu film directed by N.T. Rama Rao starring N.T. Rama Rao.","RATING, POSTER"
d6e940a3-3f57-4e93-96bb-a560c769fdd1,"Swapnangal",1970,"Madhu","P Subramaniam",,NO,"A 1970 Telugu film directed by P Subramaniam.","RATING, POSTER, SYNOPSIS"
e1a98c66-eead-4c82-bba9-d3227a7277f3,"Penn Daivam",1970,"Jaishankar","M. A. Thirumugam",,NO,"A 1970 Telugu film directed by M. A. Thirumugam.","RATING, POSTER, SYNOPSIS"
7242ab06-beda-4f70-a294-59f7726dfc9f,"En Annan",1970,"M. G. Ramachandran","P. Neelakantan",,NO,"A 1970 Telugu film directed by P. Neelakantan.","RATING, POSTER, SYNOPSIS"
4d65ff8e-ca9d-42d6-8a64-f7c6aef67b4e,"Sabarimala Shri Dharmasastha",1970,"","M. Krishnan Nair",,NO,"A 1970 Telugu film directed by M. Krishnan Nair.","HERO, RATING, POSTER, SYNOPSIS"
7424573d-49a1-436d-820b-3091c7c48fc3,"Kulavilakku",1969,"Gemini Ganesan","K. S. Gopalakrishnan",,NO,"A 1969 Telugu film directed by K. S. Gopalakrishnan.","RATING, POSTER"
d7d83702-b1a1-493e-b3c6-fe0ebc6da979,"Nam Naadu",1969,"MGR","Jambulingam",,NO,"A 1969 Telugu film directed by Jambulingam.","RATING, POSTER, SYNOPSIS"
af098222-07d1-40dd-8890-d1846af31cd3,"Kumara Sambhavam",1969,"Gemini Ganesan","P Subramaniam",,NO,"A 1969 Telugu film directed by P Subramaniam starring Sridevi.","RATING, POSTER"
