ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director_TO_FILL
4bf8c217-ffe2-489d-809d-50a499ac3cd1,kai-koduttha-dheivam-1964,"Kai Koduttha Dheivam",1964,"K. S. Gopalakrishnan","Sivaji Ganesan","Savitri",
fd95111f-3263-4823-acc8-f8a46cf5ef6c,pativrata-1964,"Pativrata",1964,"M.S. Kota Reddy","Kanta Rao","Devika",
8eb1f51d-3c3f-497f-a5fc-0f58ff96c23e,peetala-meeda-pelli-1964,"Peetala Meeda Pelli",1964,"B. Bhargava Rao","Haranath","Jamuna",
91bf0fa8-49b9-4068-b125-544441217141,sri-satyanarayana-mahathyam-1964,"Sri Satyanarayana Mahathyam",1964,"S. Rajinikanth","N. T. Rama Rao","Krishna Kumari",
c6385c53-0a0f-4685-8d11-1b05a687e05a,aapta-mitrulu-1963,"Aapta Mitrulu",1963,"S. K. S. Prasada Rao","N.T. Rama Rao, Kanta Rao","Krishna Kumari",
db945963-37de-41da-ad35-f2e83c75e97d,pempudu-koothuru-1963,"Pempudu Koothuru",1963,"B.R. Panthulu","N. T. Rama Rao","Devika",
d184bfff-a604-4a40-87fa-c5e99e6604f1,sri-krishnarjuna-yudham-1963,"Sri Krishnarjuna Yudham",1963,"K. V. Reddy","N. T. Rama Rao","Akkineni Nageswara Rao",
5268a48b-23ba-44db-a561-a4856526e7f4,vishnu-maya-1963,"Vishnu Maya",1963,"N.S. Varma","Kanta Rao","Krishna Kumari",
3c03b2c7-242f-46a6-a148-0dea752a0a35,dakshayagnam-1962,"Dakshayagnam",1962,"C. H. Narayana Murthy","N. T. Rama Rao","Devika",
c78ffe87-4ab5-4d13-a7e0-d7abef4e1280,gulebakavali-katha-1962,"Gulebakavali Katha",1962,"N.T. Rama Rao","N. T. Rama Rao","Jamuna",
dc8adf79-5958-48f9-bff6-a7806413e0ef,tiger-ramudu-1962,"Tiger Ramudu",1962,"C. S. Rao","N. T. Rama Rao","Rajasree",
2c87c9bc-7074-4aeb-9c2a-338db9f3340f,bava-maradallu-1961,"Bava Maradallu",1961,"P.A. Padmanabha Rao","Akkineni Nageswara Rao","Krishna Kumari",
e4c86585-3c23-4336-8fe5-3d1971f70965,pendli-pilupu-1961,"Pendli Pilupu",1961,"A.V. Seshagiri Rao","N. T. Rama Rao","Devika",
8a2686d8-95e2-4347-8613-96a509c045c4,shanta-1961,"Shanta",1961,"V Madhusudhana Rao","Akkineni Nageswara Rao","Rajasulochana",
fdd82b41-8b3b-45bc-9705-a64ac3056cbf,jagannatakam-1960,"Jagannatakam",1960,"Amancharla Seshagiri Rao","N. T. Rama Rao","Jamuna",
38887637-ad16-4cee-89d3-08b7a7ee3104,samajam-1960,"Samajam",1960,"A. Narayana Rao","Akkineni Nageswara Rao","Rajasree",
2baf086a-427c-48d5-b22d-206c4baf3c62,aalu-magalu-1959,"Aalu Magalu",1959,"L. V. Prasad","N. T. Rama Rao","Savitri",
567be505-9fcc-4253-a7af-2a75ad5b9d19,karmika-vijayam-1959,"Karmika Vijayam",1959,"M.A. Thirumugam","N. T. Rama Rao","Rajasree",
a93335d3-f7a1-408e-a1ac-3bd6eb25e1f9,sipayi-koothuru-1959,"Sipayi Koothuru",1959,"P. Chengaiah","Jamuna","Suryakantham",
735842b6-5a51-4feb-85e8-2d4b8ef1a103,veera-bhaskarudu-1959,"Veera Bhaskarudu",1959,"K. B. Nagabhushanam","N. T. Rama Rao","B. Saroja Devi",
9f8993a6-beca-41ab-a971-05dbee519aab,bhuloka-ramba-1958,"Bhuloka Ramba",1958,"D. Yoganand","N. T. Rama Rao","Anjali Devi",
aa6a8a7d-f47e-42a0-b938-3145ad479fb3,kaathavaraayan-1958,"Kaathavaraayan",1958,"T. R. Ramanna","Sivaji Ganesan","Savitri",
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,padhi-bhakti-1958,"Padhi Bhakti",1958,"A. Bhimsingh","Gemini Ganesan",,
d2fbe40e-6a9c-40a3-9a78-2785bb65cccd,parvathi-kalyanam-1958,"Parvathi Kalyanam",1958,"Bhaskar Rao","N. T. Rama Rao","Krishna Kumari",
9da1ac74-266e-4b78-949f-610c3da50f91,dhampathyam-1957,"Dhampathyam",1957,"A. Narayana Rao","Relangi","G. Varalakshmi",
bd6e2df8-fb5b-40e0-be06-325f1a773b22,dongallo-dora-1957,"Dongallo Dora",1957,"P. Chengaiah","Akkineni Nageswara Rao","Jamuna",
facb4bf6-48a4-4901-aebf-b638491e8cc3,nala-damayanthi-1957,"Nala Damayanthi",1957,"Kemparaj Urs","Kemparaj Urs","P. Bhanumathi",
342f5382-2c8f-4926-9533-11e1a484b3d3,vinayaka-chaviti-1957,"Vinayaka Chaviti",1957,"Samudrala Raghavacharya","N. T. Rama Rao","Jamuna",
1fcfda07-8dcd-4903-a32c-196f6cf2e2e8,ashtaaishwaryalu-1956,"Ashtaaishwaryalu",1956,"E.S.N. Murthy","N. T. Rama Rao","Savitri",
0e7d1fac-5a2d-4055-bdfb-92b79351007c,ilavelpu-1956,"Ilavelpu",1956,"D. Yoganand","Akkineni Nageswara Rao","Anjali Devi",
a3c5019d-3862-45d8-921d-7543d44413d4,jayam-manade-1956,"Jayam Manade",1956,"T. Prakash Rao","N. T. Rama Rao","Anjali Devi",
1349b64f-f622-4e41-b566-b60cc0e34044,muddu-bidda-1956,"Muddu Bidda",1956,"K. B. Tilak","Akkineni Nageswara Rao","Jamuna",
8c7460d1-4759-4dc7-9a04-da91dcda177f,naga-panchami-1956,"Naga Panchami",1956,"K. Vittalacharya","Kanta Rao","Anjali Devi",
eaf33e47-6cab-42d8-8c58-d05a39ccde49,penki-pellam-1956,"Penki Pellam",1956,"Kamalakara Kameswara Rao","N. T. Rama Rao","Rajasulochana",
8bec6386-1188-46e3-aa9c-b2789a2366c3,sonta-ooru-1956,"Sonta Ooru",1956,"E. J. Babu","N. T. Rama Rao","Rajasree",
77002973-06bc-44da-9e13-8a134079786a,cherapakura-chedevu-1955,"Cherapakura Chedevu",1955,"B. R. Panthulu","N. T. Rama Rao","Savitri",
b0d91a00-dacc-439b-853b-50d8e7a6f449,vadina-1955,"Vadina",1955,"M. V. Raman","N. T. Rama Rao","Savitri",
0f235036-0fad-465a-a292-40ec6a0dbf4c,iddaru-pellalu-1954,"Iddaru Pellalu",1954,"F. Nageswara Rao","Akkineni Nageswara Rao","Jamuna",
4ddea472-0672-4328-8ef3-84d60ffaef69,jatakaphalam-1954,"Jatakaphalam",1954,"R. Nagendra Rao","Akkineni Nageswara Rao","Savitri",
4e0c1885-6d24-4266-b7e6-a0fd27af7c78,ammalakkalu-1953,"Ammalakkalu",1953,"Shanti Kumar","N. T. Rama Rao","P. Bhanumathi",
8892bf0a-d4fb-45c9-8cd6-5ca00fbdd80a,bratuku-theruvu-1953,"Bratuku Theruvu",1953,"P. S. Ramakrishna Rao","Akkineni Nageswara Rao","Savitri",
c73ab17e-8f49-4974-a907-fabf2d9a70f0,chivarku-migiledhi-1953,"Chivarku Migiledhi",1953,"Gutha Ramineedu","Kanta Rao","Savitri",
45170ea1-5f11-46f3-9aa9-2e3c940edbf5,puttillu-1953,"Puttillu",1953,"Dr. Raja Rao","Jamuna","Savitri",
f6069bac-c8e0-43a6-9742-22cd0cb22ac1,adarsham-1952,"Adarsham",1952,"H. V. Babu","Akkineni Nageswara Rao","Savitri",
