"Movie ID","Movie Title","Original Cast Count","Deduplicated Count","Duplicates Removed","Sample Duplicate Names"
"d53f3678-0fe2-4d7d-95a0-847e80359765","Anthapuram","3","2","1","Sai Kumar"
"7f0b003c-b15f-4087-9003-0efc1d959658","Paarthaal Pasi Theerum","2","1","1","Janaki"
"8166fb32-9319-4cc8-bd39-88aba9c44c26","Bava Maradallu","2","1","1","Allu"
"54462014-98a5-4c37-9bac-8aaccd871c65","Samrat Ashoka","2","1","1","Ramakrishna"
"0c1091b7-75ea-4294-b187-77375c854478","Maavichiguru","2","1","1","Allu"
"d5580ea4-9e91-4425-be5e-a492355a3a17","Padutha Theeyaga","2","1","1","Sivaji Sontineni"
"cc7d99c5-b85a-465b-84fe-9f5966bb4c22","Seesa","2","1","1","Sivaji Sontineni"
"5db9234a-a5ff-44da-816f-cd9da531f764","Darr","7","6","1","Annu Kapoor"
"45f578e7-18cb-46a0-9a2e-840c3baf87b7","Aagraham","2","1","1","Rajasekhar"
"4913b3c6-ce7e-4e5a-a6aa-c2eb6e2989b5","Mr. Bharath","2","1","1","Suhasini"
"926c1848-eea0-4d4f-9028-2278392d1653","Raaga Deepam","2","1","1","Lakshmi"
"b253a2c0-7389-4d0c-9cac-0a9f357ec730","Chadarangam","2","1","1","Ramakrishna"
"3355564e-f3d1-4d40-a916-ec4119c49941","Raavanan","7","6","1","Suhasini"
"44df07b8-b64c-4162-ae2a-3ca4c7994f0b","Subhalekha","10","9","1","K"
"c11a6394-9269-4a25-8a98-ec92d2fc0567","Mayadari Alludu","5","4","1","K S R Das"
"b7e01772-6dba-41f1-b1d0-05275e765eac","Tholi Prema","13","12","1","Saritha"
"f4967704-936e-44a6-937f-bf26028da430","Sandhitha Velai","2","1","1","Sujatha"
"6c339f26-38ca-43db-ac8d-335ab52d1bc0","Most Eligible Bachelor","17","16","1","Bhaskar"
"1b48bf39-b6ca-498a-b8e6-3821a6b38db8","Family Circus","17","16","1","Teja"
"5c2c28f5-3314-41fe-832b-5d755e3cb5ec","Magadheera","15","14","1","Sarath Babu"
"372c0e78-0cb5-497c-8f50-fbe621bd5d37","Bangaru Kutumbam","2","1","1","K S R Das"
"f9dc27e1-918e-4a99-ad56-7e7eced1f30a","Swarabhishekam","2","1","1","K"
"663b1b3f-1364-42e0-ac58-65c38d8e7393","Tuck Jagadish","12","11","1","Thiruveer Reddy"
"0d61edc3-a220-4e58-8fc9-d7d4b686d2d1","Ramudochadu","2","1","1","Chandra Mohan"
"70794e5a-dc58-4696-98f4-b067469c8b0d","Dongalaku Donga","2","1","1","K S R Das"
"a71fb883-c940-4399-a897-6f5a8209f940","Akka Mogudu","2","1","1","Suhasini"
"a75e8ded-39e4-4aba-85fe-1931c2b18aab","Anaamika","2","1","1","Naresh"
"cfdf6afc-0438-4872-84a8-ac126de4374e","Jump Jilani","2","1","1","Jeeva"
