Actor,Movie Title,Action,Status
"rambha","Desamuduru","Added to supporting_cast",✓ Fixed
"rambha","Quick Gun Murugun","Added to supporting_cast",✓ Fixed
"ravi teja","Chaitanya","Added to supporting_cast",✓ Fixed
"ravi teja","Aaj Ka Goonda Raj","Added to supporting_cast",✓ Fixed
"ravi teja","Allari Priyudu","Added to supporting_cast",✓ Fixed
"ravi teja","Ninne Pelladata","Added to supporting_cast",✓ Fixed
"ravi teja","Sindhooram","Added to supporting_cast",✓ Fixed
"ravi teja","Chiranjeevulu","Added to supporting_cast",✓ Fixed
"ravi teja","Avunu Valliddaru Ista Paddaru!","Added to supporting_cast",✓ Fixed
"ravi teja","Ee Abbai Chala Manchodu","Added to supporting_cast",✓ Fixed
"ravi teja","Venky","Added to supporting_cast",✓ Fixed
"ravi teja","Bhadra","Added to supporting_cast",✓ Fixed
"ravi teja","Shock","Added to supporting_cast",✓ Fixed
"ravi teja","Dubai Seenu","Added to supporting_cast",✓ Fixed
"ravi teja","Krishna","Added to supporting_cast",✓ Fixed
