Slug,Title_EN,Year,Hero,Director,Title_TE (TO FILL)
gammathu-2023,"Gammathu",2023,"Parvateesam","Aswwani Sri Krisshna",
gandeevadhari-arjuna-2023,"Gandeevadhari Arjuna",2023,"Varun Tej","Praveen Sattaru",
geetasakshigaa-2023,"Geetasakshigaa",2023,"Aadarsh","Anthony Mattipalli",
ghosty-2023,"Ghosty",2023,"Yogi Babu","Kalyaan",
her-chapter-1-2023,"Her: Chapter 1",2023,"Vikas Vashishta","Sreedhar Swaraghav",
hidimbha-2023,"Hidimbha",2023,"Ashwin Babu","Aneel Kanneganti",
hunt-2023,"Hunt",2023,"Sudheer Babu","Mahesh Surapaneni",
intinti-ramayanam-2023,"Intinti Ramayanam",2023,"Rahul Ramakrishna","Suresh Naredla",
jilebi-2023,"Jilebi",2023,"Sree Kamal","K. Vijaya Bhaskar",
kalyanam-kamaneeyam-2023,"Kalyanam Kamaneeyam",2023,"Santosh Shoban","Anil kumar Aalla",
kannai-nambathe-2023,"Kannai Nambathe",2023,"Udhayanidhi Stalin","Mu. Maran",
karna-2023,"Karna",2023,"Alfredo Castro","Juan Pablo Félix",
katha-venuka-katha-2023,"Katha Venuka Katha",2023,"Viswant Duddumpudi","Krishna Chaitanya",
keedaa-cola-2023,"Keedaa Cola",2023,"Rag Mayur","Tharun Bhascker",
kisi-ka-bhai-kisi-ki-jaan-2023,"Kisi Ka Bhai... Kisi Ki Jaan",2023,"Salman Khan","Farhad Samji",
kota-bommali-ps-2023,"Kota Bommali Ps",2023,"Srikanth","Teja Marni",
kousalya-supraja-rama-2008,"Kousalya Supraja Rama",2023,"Meka Srikanth","Surya Prasad",
kranthi-2023,"Kranthi",2023,"Rakendu Mouli","Bhima Shankar",
lust-stories-2-2023,"Lust Stories 2",2023,"Tamannaah Bhatia","Konkona Sen Sharma",
maa-oori-polimera-2-2023,"Maa Oori Polimera 2",2023,"Satyam Rajesh","Anil Viswanath",
maama-mascheendra-2023,"Maama Mascheendra",2023,"Sudheer Babu","Harsha Vardhan",
maataraani-mounamidhi-2023,"Maataraani Mounamidhi",2023,"Suman Shetty","Suku Purvaj",
